title,category,date,longitude,latitude
"Conner Wildfire, Douglas, Nevada",Wildfires,2025-06-20T09:03:00Z,-119.644167,38.8524
"EVP HID Rx 0620 Prescribed Fire, Miami-Dade, Florida",Wildfires,2025-06-20T07:13:00Z,-80.6448,25.3807
"Saint George Creek Wildfire, Denali, Alaska",Wildfires,2025-06-20T03:06:00Z,-147.891533,64.222833
"Turtle Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T01:55:00Z,-144.298667,65.608833
"Bonanza Creek Wildfire, Fairbanks North Star, Alaska",Wildfires,2025-06-20T01:50:00Z,-148.446383,64.713883
"Ikheenjik Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-20T01:45:00Z,-144.234167,65.611833
"Bear Creek Wildfire, Denali, Alaska",Wildfires,2025-06-19T23:14:00Z,-149.284717,64.041383
"Forsyth Wildfire, Washington, Utah",Wildfires,2025-06-19T20:59:00Z,-113.515417,37.346567
"Aniralik Wildfire, Northwest Arctic, Alaska",Wildfires,2025-06-19T12:36:00Z,-159.735833,68.203333
"BCP Mullet B Rx 0619 Prescribed Fire, Collier, Florida",Wildfires,2025-06-19T07:08:00Z,-81.110883,26.023867
"BAER BUCK Emergency Stabilization, Catron, New Mexico",Wildfires,2025-06-18T13:21:00Z,-108.21086,33.59564
"SMR Port Leon West Rx 0618 Prescribed Fire, Wakulla, Florida",Wildfires,2025-06-18T09:18:00Z,-84.184444,30.144389
"SEVEN SPRINGS Wildfire, Otero, New Mexico",Wildfires,2025-06-17T17:57:00Z,-105.80735,33.066183
"0300 WOLF HOLLOW GILLIAM COUNTY ASSIST Wildfire, Gilliam, Oregon",Wildfires,2025-06-17T17:48:00Z,-120.059,45.3894
"MONTE Wildfire, San Diego, California",Wildfires,2025-06-17T17:44:00Z,-116.841545,32.891216
"Tango Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-17T17:37:00Z,-156.02,63.82
"HelpMeJack Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-17T15:16:00Z,-154.048383,66.868083
"Tagagawik Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-06-17T12:09:00Z,-159.06,65.66
